,state,constituency,won status,votes,(votes),Name,Party Name
8215,Andhra Pradesh,Thirupathi(SC)(23),won,632228,(+ 14569),GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party
8239,Andhra Pradesh,Kadapa(21),won,605143,(+ 62695),Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party
8254,Andhra Pradesh,Araku (ST)(1),won,477005,(+ 50580),GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party
8268,Andhra Pradesh,Chittoor(SC)(25),won,778071,(+ 220479),DAGGUMALLA PRASADA RAO,Telugu Desam
8288,Andhra Pradesh,Nellore(22),won,766202,(+ 245902),PRABHAKAR REDDY VEMIREDDY,Telugu Desam
8303,Andhra Pradesh,Hindupur(20),won,725534,(+ 132427),B K PARTHASARATHI,Telugu Desam
8317,Andhra Pradesh,Ananthapur(19),won,768245,(+ 188555),AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam
8339,Andhra Pradesh,Kurnoolu(18),won,658914,(+ 111298),BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam
8359,Andhra Pradesh,Nandyal(17),won,701131,(+ 111975),DR BYREDDY SHABARI,Telugu Desam
8391,Assam,Kokrajhar (1),won,488995,(+ 51583),JOYANTA BASUMATARY,"United People’s Party, Liberal"
8404,Assam,Jorhat(14),won,751771,(+ 144393),GAURAV GOGOI,Indian National Congress
8409,Assam,Dibrugarh(13),won,693762,(+ 279321),SARBANANDA SONOWAL,Bharatiya Janata Party
8413,Bihar,Nalanda(29),won,559422,(+ 169114),KAUSHALENDRA KUMAR,Janata Dal  (United)
8443,Bihar,Munger(28),won,550146,(+ 80870),RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal  (United)
8456,Bihar,Banka(27),won,506678,(+ 103844),GIRIDHARI YADAV,Janata Dal  (United)
8467,Bihar,Bhagalpur(26),won,536031,(+ 104868),AJAY KUMAR MANDAL,Janata Dal  (United)
8480,Bihar,Siwan(18),won,386508,(+ 92857),VIJAYLAKSHMI DEVI,Janata Dal  (United)
8494,Bihar,Gopalganj(17),won,511866,(+ 127180),DR. ALOK KUMAR SUMAN,Janata Dal  (United)
8506,Bihar,Madhepura(13),won,640649,(+ 174534),DINESH CHANDRA YADAV,Janata Dal  (United)
8515,Bihar,Supaul(8),won,595038,(+ 169803),DILESHWAR KAMAIT,Janata Dal  (United)
8531,Bihar,Jhanjharpur(7),won,533032,(+ 184169),RAMPRIT MANDAL,Janata Dal  (United)
8542,Bihar,Sitamarhi(5),won,515719,(+ 51356),DEVESH CHANDRA THAKUR,Janata Dal  (United)
8557,Bihar,Sheohar(4),won,476612,(+ 29143),LOVELY ANAND,Janata Dal  (United)
8570,Bihar,Valmiki Nagar (1),won,523422,(+ 98675),SUNIL KUMAR,Janata Dal  (United)
8581,Assam,Lakhimpur(12),won,663122,(+ 201257),PRADAN BARUAH,Bharatiya Janata Party
8591,Assam,Sonitpur(11),won,775788,(+ 361408),RANJIT DUTTA,Bharatiya Janata Party
8600,Assam,Kaziranga(10),won,897043,(+ 248947),KAMAKHYA PRASAD TASA,Bharatiya Janata Party
8612,Assam,Silchar (8),won,652405,(+ 264311),PARIMAL SUKLABAIDYA,Bharatiya Janata Party
8621,Assam,Karimganj(7),won,545093,(+ 18360),KRIPANATH MALLAH,Bharatiya Janata Party
8646,Assam,Diphu(6),won,334620,(+ 147603),AMARSING TISSO,Bharatiya Janata Party
8652,Assam,Guwahati(5),won,894887,(+ 251090),BIJULI KALITA  MEDHI,Bharatiya Janata Party
8661,Assam,Darrang-Udalguri(4),won,868387,(+ 329012),DILIP SAIKIA,Bharatiya Janata Party
8673,Assam,Nagaon(9),won,788850,(+ 212231),PRADYUT BORDOLOI,Indian National Congress
8687,Assam,Dhubri (2),won,1471885,(+ 1012476),RAKIBUL HUSSAIN,Indian National Congress
8701,Andhra Pradesh,Ongole(16),won,701894,(+ 50199),MAGUNTA SREENIVASULU REDDY,Telugu Desam
8727,Andhra Pradesh,Bapatla (SC)(15),won,717493,(+ 208031),KRISHNA PRASAD TENNETI,Telugu Desam
8743,Andhra Pradesh,Narsaraopet(14),won,807996,(+ 159729),LAVU SRIKRISHNA DEVARAYALU,Telugu Desam
8759,Andhra Pradesh,Guntur(13),won,864948,(+ 344695),DR CHANDRA SEKHAR PEMMASANI,Telugu Desam
8790,Andhra Pradesh,Vijayawada(12),won,794154,(+ 282085),KESINENI SIVANATH (CHINNI),Telugu Desam
8808,Andhra Pradesh,Eluru(10),won,746351,(+ 181857),PUTTA MAHESH KUMAR,Telugu Desam
8822,Andhra Pradesh,Amalapuram (SC)(7),won,796981,(+ 342196),G M HARISH (BALAYOGI),Telugu Desam
8838,Andhra Pradesh,Visakhapatnam(4),won,907467,(+ 504247),SRIBHARAT MATHUKUMILI,Telugu Desam
8872,Andhra Pradesh,Vizianagaram(3),won,743113,(+ 249351),APPALANAIDU KALISETTI,Telugu Desam
8888,Andhra Pradesh,Srikakulam(2),won,754328,(+ 327901),KINJARAPU RAMMOHAN NAIDU,Telugu Desam
