,state,constituency,won status,votes,(votes),Name,Party Name
1812,Maharashtra,Buldhana(5),won,349867,(+ 29479),JADHAV PRATAPRAO GANPATRAO,Shiv Sena
1834,Kerala,Attingal(19),won,328051,(+ 684),ADV ADOOR PRAKASH,Indian National Congress
1842,Kerala,Pathanamthitta(17),won,367623,(+ 66119),ANTO ANTONY,Indian National Congress
1851,Kerala,Mavelikkara (16),won,369516,(+ 10868),KODIKUNNIL SURESH,Indian National Congress
1861,Kerala,Alappuzha(15),won,404560,(+ 63513),K. C VENUGOPAL,Indian National Congress
1873,Kerala,Idukki(13),won,432372,(+ 133727),ADV. DEAN KURIAKOSE,Indian National Congress
1881,Kerala,Ernakulam(12),won,482317,(+ 250385),HIBI EDEN,Indian National Congress
1892,Kerala,Chalakudy(11),won,394171,(+ 63754),BENNY BEHANAN,Indian National Congress
1904,Kerala,Palakkad(8),won,421169,(+ 75283),V K SREEKANDAN,Indian National Congress
1915,Kerala,Kozhikode(5),won,520421,(+ 146176),M. K. RAGHAVAN,Indian National Congress
1929,Kerala,Wayanad(4),won,647445,(+ 364422),RAHUL GANDHI,Indian National Congress
1939,Kerala,Vadakara(3),won,557528,(+ 114506),SHAFI PARAMBIL,Indian National Congress
1950,Kerala,Kannur(2),won,518524,(+ 108982),K. SUDHAKARAN,Indian National Congress
1963,Kerala,Kasaragod(1),won,490659,(+ 100649),RAJMOHAN UNNITHAN,Indian National Congress
1973,Kerala,Malappuram(6),won,644006,(+ 300118),E.T.  MOHAMMED BASHEER,Indian Union Muslim League
1982,Karnataka,Bangalore South(26),won,750830,(+ 277083),TEJASVI SURYA,Bharatiya Janata Party
2005,Karnataka,Bangalore central(25),won,658915,(+ 32707),P C MOHAN,Bharatiya Janata Party
2030,Karnataka,Bangalore North(24),won,986049,(+ 259476),SHOBHA KARANDLAJE,Bharatiya Janata Party
2052,Karnataka,Bangalore Rural(23),won,1079002,(+ 269647),DR C N MANJUNATH,Bharatiya Janata Party
2068,Karnataka,Mysore(21),won,795503,(+ 139262),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party
2087,Karnataka,Tumkur(19),won,720946,(+ 175594),V. SOMANNA,Bharatiya Janata Party
2106,Karnataka,Chitradurga(18),won,684890,(+ 48121),GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party
2127,Karnataka,Dakshina Kannada(17),won,764132,(+ 149208),CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party
2137,Karnataka,Udupi Chikmagalur(15),won,732234,(+ 259175),KOTA SRINIVAS POOJARY,Bharatiya Janata Party
2148,Karnataka,Shimoga(14),won,778721,(+ 243715),B.Y.RAGHAVENDRA,Bharatiya Janata Party
2172,Karnataka,Uttara Kannada(12),won,782495,(+ 337428),VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party
2186,Karnataka,Dharwad(11),won,716231,(+ 97324),PRALHAD JOSHI,Bharatiya Janata Party
2204,Karnataka,Haveri(10),won,705538,(+ 43513),BASAVARAJ BOMMAI,Bharatiya Janata Party
2219,Karnataka,Bijapur(4),won,672781,(+ 77229),RAMESH JIGAJINAGI,Bharatiya Janata Party
2228,Karnataka,Bagalkot(3),won,671039,(+ 68399),GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party
2251,Karnataka,Belgaum(2),won,762029,(+ 178437),JAGADISH SHETTAR,Bharatiya Janata Party
2265,Karnataka,Hassan(16),won,672988,(+ 42649),SHREYAS. M. PATEL,Indian National Congress
2281,Karnataka,Davanagere(13),won,633059,(+ 26094),DR. PRABHA MALLIKARJUN,Indian National Congress
2312,Karnataka,Bellary(9),won,730845,(+ 98992),E. TUKARAM,Indian National Congress
2323,Karnataka,Koppal(8),won,663511,(+ 46357),K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress
2343,Karnataka,Bidar(7),won,666317,(+ 128875),SAGAR ESHWAR KHANDRE,Indian National Congress
2362,Karnataka,Raichur(6),won,670966,(+ 79781),G. KUMAR NAIK.,Indian National Congress
2371,Karnataka,Gulbarga(5),won,652321,(+ 27205),RADHAKRISHNA,Indian National Congress
2386,Karnataka,Chikkodi(1),won,713461,(+ 90834),PRIYANKA SATISH JARKIHOLI,Indian National Congress
2405,Jharkhand,Palamau(13),won,770362,(+ 288807),VISHNU DAYAL RAM,Bharatiya Janata Party
2415,Jharkhand,Jamshedpur(9),won,726174,(+ 259782),BIDYUT BARAN MAHATO,Bharatiya Janata Party
2441,Jharkhand,Ranchi(8),won,664732,(+ 120512),SANJAY SETH,Bharatiya Janata Party
2469,Jharkhand,Dhanbad(7),won,789172,(+ 331583),DULU MAHATO,Bharatiya Janata Party
2495,Jharkhand,Kodarma(5),won,791657,(+ 377014),ANNPURNA DEVI,Bharatiya Janata Party
2511,Jharkhand,Chatra(4),won,574556,(+ 220959),KALI CHARAN SINGH,Bharatiya Janata Party
2534,Jharkhand,Godda(3),won,693140,(+ 101813),NISHIKANT DUBEY,Bharatiya Janata Party
2554,Jharkhand,Dumka(2),won,547370,(+ 22527),NALIN SOREN,Jharkhand Mukti Morcha
2574,Jharkhand,Rajmahal(1),won,613371,(+ 178264),VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha
2589,Jharkhand,Khunti(11),won,511647,(+ 149675),KALI CHARAN MUNDA,Indian National Congress
2597,West Bengal,Bolpur(41),won,855633,(+ 327253),ASIT KUMAR MAL,All India Trinamool Congress
2606,West Bengal,Asansol(40),won,605645,(+ 59564),SHATRUGHAN PRASAD SINHA,All India Trinamool Congress
2614,West Bengal,Bardhaman-Durgapur(39),won,720667,(+ 137981),AZAD KIRTI JHA,All India Trinamool Congress
2623,West Bengal,Bardhaman Purba(38),won,720302,(+ 160572),DR. SHARMILA SARKAR,All India Trinamool Congress
2631,West Bengal,Bankura(36),won,641813,(+ 32778),ARUP CHAKRABORTY,All India Trinamool Congress
2645,West Bengal,Medinipur(34),won,702192,(+ 27191),JUNE MALIAH,All India Trinamool Congress
2655,West Bengal,Jhargram(33),won,743478,(+ 174048),KALIPADA SAREN (KHERWAL),All India Trinamool Congress
2669,West Bengal,Ghatal(32),won,837990,(+ 182868),ADHIKARI DEEPAK (DEV),All India Trinamool Congress
2677,West Bengal,Arambagh(29),won,712587,(+ 6399),BAG MITALI,All India Trinamool Congress
2688,West Bengal,Hooghly(28),won,702744,(+ 76853),RACHNA BANERJEE,All India Trinamool Congress
2701,West Bengal,Srerampur(27),won,673970,(+ 174830),KALYAN BANERJEE,All India Trinamool Congress
2713,West Bengal,Uluberia(26),won,724622,(+ 218673),SAJDA AHMED,All India Trinamool Congress
2726,West Bengal,Howrah(25),won,626493,(+ 169442),PRASUN BANERJEE,All India Trinamool Congress
2741,West Bengal,Kolkata Uttar(24),won,454696,(+ 92560),BANDYOPADHYAY SUDIP,All India Trinamool Congress
2757,West Bengal,Kolkata Dakshin(23),won,615274,(+ 187231),MALA ROY,All India Trinamool Congress
2775,West Bengal,Jadavpur(22),won,717899,(+ 258201),SAYANI GHOSH,All India Trinamool Congress
2792,West Bengal,Diamond harbour(21),won,1048230,(+ 710930),ABHISHEK BANERJEE,All India Trinamool Congress
2805,West Bengal,Mathurapur(20),won,755731,(+ 201057),BAPI HALDAR,All India Trinamool Congress
2818,West Bengal,Joynagar(19),won,894312,(+ 470219),PRATIMA MONDAL,All India Trinamool Congress
2830,West Bengal,Basirhat(18),won,803762,(+ 333547),SK NURUL ISLAM,All India Trinamool Congress
2846,West Bengal,Barasat(17),won,692010,(+ 114189),KAKOLI GHOSH DASTIDAR,All India Trinamool Congress
2859,West Bengal,Dum dum(16),won,528579,(+ 70660),SOUGATA RAY,All India Trinamool Congress
2874,West Bengal,Barrackpur(15),won,520231,(+ 64438),PARTHA BHOWMICK,All India Trinamool Congress
2889,West Bengal,Krishnanagar(12),won,628789,(+ 56705),MAHUA MOITRA,All India Trinamool Congress
2901,West Bengal,Murshidabad(11),won,682442,(+ 164215),ABU TAHER KHAN,All India Trinamool Congress
2913,West Bengal,Baharampur(10),won,524516,(+ 85022),PATHAN YUSUF,All India Trinamool Congress
2929,West Bengal,Jangipur(9),won,544427,(+ 116637),KHALILUR RAHAMAN,All India Trinamool Congress
2944,West Bengal,Purulia(35),won,578489,(+ 17079),JYOTIRMAY SINGH MAHATO,Bharatiya Janata Party
2957,West Bengal,Kanthi(31),won,763195,(+ 47764),ADHIKARI SOUMENDU,Bharatiya Janata Party
2967,West Bengal,Tamluk(30),won,765584,(+ 77733),ABHIJIT GANGOPADHYAY,Bharatiya Janata Party
2977,West Bengal,Bangaon(14),won,719505,(+ 73693),SHANTANU THAKUR,Bharatiya Janata Party
2993,West Bengal,Coochbehar(1),won,788375,(+ 39250),JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress
3008,West Bengal,Ranaghat(13),won,782396,(+ 186899),JAGANNATH SARKAR,Bharatiya Janata Party
3016,West Bengal,Maldaha Uttar(7),won,527023,(+ 77708),KHAGEN MURMU,Bharatiya Janata Party
3032,West Bengal,Balurghat(6),won,574996,(+ 10386),SUKANTA MAJUMDAR,Bharatiya Janata Party
3046,West Bengal,Raiganj(5),won,560897,(+ 68197),KARTICK CHANDRA PAUL,Bharatiya Janata Party
3067,West Bengal,Darjeeling(4),won,679331,(+ 178525),RAJU BISTA,Bharatiya Janata Party
3082,West Bengal,Jalpaiguri(3),won,766568,(+ 86693),DR JAYANTA KUMAR ROY,Bharatiya Janata Party
3095,West Bengal,Alipurduars(2),won,695314,(+ 75447),MANOJ TIGGA,Bharatiya Janata Party
3107,Maharashtra,Kolhapur(47),won,754522,(+ 154964),CHHATRAPATI SHAHU SHAHAJI,Indian National Congress
3131,Meghalaya,Shillong(1),won,571078,(+ 371910),DR. RICKY ANDREW J. SYNGKON,Voice of the People Party
3138,Odisha,Berhampur(20),won,513102,(+ 165476),DR. PRADEEP KUMAR PANIGRAHY,Bharatiya Janata Party
3150,Punjab,Bathinda(11),won,376558,(+ 49656),HARSIMRAT KAUR BADAL,Shiromani Akali Dal
3169,Punjab,Sangrur(12),won,364085,(+ 172560),GURMEET SINGH MEET HAYER,Aam Aadmi Party
3193,Punjab,Patiala(13),won,305616,(+ 14831),DR DHARAMVIRA GANDHI,Indian National Congress
3220,Uttarakhand,Haridwar(5),won,653808,(+ 164056),TRIVENDRA SINGH RAWAT,Bharatiya Janata Party
3235,Uttar Pradesh,Mirzapur(79),won,471631,(+ 37810),ANUPRIYA PATEL,Apna Dal (Soneylal)
3246,Tripura,Tripura East(2),won,777447,(+ 486819),KRITI DEVI DEBBARMAN,Bharatiya Janata Party
3256,Telangana,Hyderabad(9),won,661981,(+ 338087),ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen
3287,Tamil Nadu,RAMANATHAPURAM(35),won,509664,(+ 166782),NAVASKANI K,Indian Union Muslim League
3313,Sikkim,Sikkim(1),won,164396,(+ 80830),INDRA HANG SUBBA,Sikkim Krantikari Morcha
3328,Rajasthan,BANSWARA (20),won,820831,(+ 247054),RAJ KUMAR ROAT,Bharat Adivasi Party
3337,Jammu and Kashmir,BARAMULLA(1),won,472481,(+ 204142),ABDUL RASHID SHEIKH,Independent
3360,Himachal Pradesh,SHIMLA(4),won,519748,(+ 91451),Suresh Kumar Kashyap,Bharatiya Janata Party
3366,Haryana,FARIDABAD(10),won,788569,(+ 172914),KRISHAN PAL,Bharatiya Janata Party
