ref,state,constituency,img_link,won_status,votes,votes_percentage,name,party_name
948,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/CHEVU-2024-20240425023858.jpg,lost,2915,( -88250),CHEVURU SREEDHARA REDDY,Indian National Congress
949,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/THOGA-2024-20240430010018.jpg,lost,1051,( -90114),THOGATHARI KRISHNA,Bahujan Samaj Party
950,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/RAMNA-2024-20240430010058.jpg,lost,603,( -90562),RAMNARAYANA REDDY DHANIREDDY,Independent
951,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/NELLO-2024-20240418024234.jpg,lost,455,( -90710),NELLORE.KRISHNA REDDY,Yuga Thulasi Party
952,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/GANGI-2024-20240423030312.jpg,lost,182,( -90983),GANGINENI SRINIVASULU,Independent
953,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/NAGEL-2024-20240425052747.jpg,lost,165,( -91000),NAGELLA VENKATA BHANU PRAKASH,Independent
954,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/SYEDS-2024-20240424125419.jpg,lost,120,( -91045),SYED SHUKKUR,Indian Union Muslim League
955,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/VENKA-2024-20240425011601.jpg,lost,103,( -91062),BELLAMKONDA VENKATESH,Vishwa Jana Party
956,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/RAMIS-2024-20240425054014.jpg,lost,84,( -91081),RAMISETTY VENKATESWARLU,Samajwadi Party
957,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/BODDU-2024-20240423022530.jpg,lost,58,( -91107),BODDU RAJESWARI,Pyramid Party of India
